#separator:tab
#html:false
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开新窗口的快捷键是 {{c1::Ctrl N}}。	打开新窗口	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在无痕模式下打开新窗口的快捷键是 {{c1::Ctrl Shift N}}。	打开无痕窗口	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开新标签页并跳转到该标签页的快捷键是 {{c1::Ctrl T}}。	打开新标签页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 重新打开最后关闭的标签页并跳转到该标签页的快捷键是 {{c1::Ctrl Shift T}}。	重开关闭的标签页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到下一个打开的标签页的快捷键是 {{c1::Ctrl Tab}}。	跳转下个标签页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到上一个打开的标签页的快捷键是 {{c1::Ctrl Shift Tab}}。	跳转上个标签页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到特定标签页（1-8）的快捷键是 {{c1::Ctrl 1-8}}。	跳转特定标签页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到最后一个标签页的快捷键是 {{c1::Ctrl 9}}。	跳转最后标签页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在当前标签页打开主页的快捷键是 {{c1::Alt Home}}。	打开主页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在当前标签页打开历史记录中的上一个页面的快捷键是 {{c1::Alt Left}}。	后退	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在当前标签页打开历史记录中的下一个页面的快捷键是 {{c1::Alt Right}}。	前进	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 关闭当前标签页的快捷键是 {{c1::Ctrl W}}。	关闭当前标签页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 关闭当前窗口的快捷键是 {{c1::Ctrl Shift W}}。	关闭当前窗口	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 最小化当前窗口的快捷键是 {{c1::Alt Space N}}。	最小化窗口	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 最大化当前窗口的快捷键是 {{c1::Alt Space X}}。	最大化窗口	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 关闭当前窗口（系统通用）的快捷键是 {{c1::Alt F4}}。	关闭窗口	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 退出 Google Chrome 的快捷键是 {{c1::Ctrl Shift Q}}。	退出浏览器	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::01_TabAndWindow"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开 Chrome 菜单的快捷键是 {{c1::Alt F}}。	打开菜单	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 显示或隐藏书签栏的快捷键是 {{c1::Ctrl Shift B}}。	切换书签栏	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开书签管理器的快捷键是 {{c1::Ctrl Shift O}}。	书签管理器	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在新标签页中打开历史记录页面的快捷键是 {{c1::Ctrl H}}。	历史记录	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在新标签页中打开下载页面的快捷键是 {{c1::Ctrl J}}。	下载页面	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开 Chrome 任务管理器的快捷键是 {{c1::Shift Esc}}。	任务管理器	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 将焦点设置在工具栏第一个项目的快捷键是 {{c1::Shift Alt T}}。	焦点至工具栏首项	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 将焦点设置在工具栏最后一个项目的快捷键是 {{c1::F10}}。	焦点至工具栏末项	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 切换焦点到未聚焦对话框（如果显示）的快捷键是 {{c1::F6}}。	切换焦点	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开查找栏以搜索当前页面的快捷键是 {{c1::Ctrl F}}。	打开查找栏	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到查找栏搜索结果的下一个匹配项的快捷键是 {{c1::Ctrl G}}。	查找下个匹配	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到查找栏搜索结果的上一个匹配项的快捷键是 {{c1::Ctrl Shift G}}。	查找上个匹配	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
